year_month,total_revenue,orders
2009-01,44048.69,98
2009-02,52941.99,110
2009-03,67479.08,122
2009-04,34064.41,80
2009-05,9803.050000000001,30
2009-06,24580.72,72
2009-07,33169.63,94
2009-08,44804.340000000004,102
2009-09,31113.600000000002,77
2009-10,38806.36,87
2009-11,39415.88,65
2010-01,310776.951,610
2010-02,281855.62,586
2010-03,262587.321,488
2010-04,244040.08,515
2010-05,314188.45,631
2010-06,255490.08000000002,500
2010-07,455894.28,718
2010-08,371525.391,725
2010-09,330781.56,612
2010-10,271973.39,594
2010-11,258839.07,590
2010-12,281910.301,619
2011-01,239994.38,588
2011-02,209542.22,476
2011-03,261508.44,463
2011-04,329347.22000000003,629
2011-05,322262.21,636
2011-06,305544.2,707
2011-07,322993.67,702
2011-08,257498.63,660
2011-09,422002.18,562
2011-10,291455.9,554
2011-11,345332.09,629
2011-12,205190.8,464
